time(millisecond),datetime (pst),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
46700,4/21/25 22:23,4/22/25 5:23,34.01982468,-118.2899813,0,Available with any HD 360 subscription,Available with any HD 360 subscription,176.0592855,0.328084,0,0,0,16,5,0,176.0592855,0,0,0,0,0,0,16,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0,95.18,176.0592855,0,41,Motors_Started,
46800,4/21/25 22:23,4/22/25 5:23,34.01982474,-118.2899812,0,,,176.0592855,0.328084,0,0.026268308,0.026268308,16,5,0,176.0592855,0,0,0.026268308,0,0,0,16.1,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0,95.18,176.0592855,0,41,Motors_Started,Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 35. Setting new Maximum Flight Altitude to 30m (98 ft)
46900,4/21/25 22:23,4/22/25 5:23,34.01982477,-118.2899812,0,,,176.0592855,0.328084,0,0.041007547,0.041034778,16,5,7.481,176.0592855,0,0,0.041007547,0,0,0,16.1,3.5,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,Aircraft in Warning Zone (Airport). Fly with caution
47100,4/21/25 22:23,4/22/25 5:23,34.01982501,-118.2899811,0,,,176.0592855,0.328084,0,0.129059387,0.130604007,16,5,7.481,176.0592855,0,0,0.129059387,0,0,0,16.1,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.8,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47200,4/21/25 22:23,4/22/25 5:23,34.01982512,-118.2899811,0,,,176.0592855,0.328084,0,0.171563982,0.173206042,15,5,7.481,176.0592855,0,0,0.171563982,0,0,0,16.1,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47300,4/21/25 22:23,4/22/25 5:23,34.01982526,-118.289981,0,,,176.0592855,0.328084,0,0.229911097,0.23173754,15,5,7.481,176.0592855,0,0,0.229911097,0,0,0,16.1,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.8,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47400,4/21/25 22:23,4/22/25 5:23,34.01982546,-118.2899808,0,,,176.0592855,0.328084,0,0.319650601,0.323152897,15,5,7.481,176.0592855,0,0,0.319650601,0,0,0,16.1,3.4,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47500,4/21/25 22:23,4/22/25 5:23,34.01982557,-118.2899808,0,,,176.0592855,0.328084,0,0.359734263,0.365544631,15,5,7.481,176.0592855,0,0,0.359734263,0,0,0,16.1,3.5,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47600,4/21/25 22:23,4/22/25 5:23,34.01982569,-118.2899808,0,,,176.0592855,0.328084,0,0.400980984,0.408953425,15,5,7.481,176.0592855,0,0,0.400980984,0,0,0,16.1,3.5,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
47700,4/21/25 22:23,4/22/25 5:23,34.01982578,-118.2899807,0,,,176.0592855,0.328084,0,0.436069568,0.444458676,15,5,7.481,176.0592855,0,0,0.436069568,0,0,0,16.1,3.5,0,0,1,1024,1024,1024,1024,0,0,0,0,335.9,0,0,25,3.742,3.739,0,0,0,0,0.7,95.18,176.0592855,0,41,Motors_Started,
