time(millisecond),datetime (pst),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,4/28/25 22:42:04,4/29/25 5:42,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.28084E-5,0,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.1,1.4,2.7,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 39. Setting new Maximum Flight Altitude to 30m (98 ft)
100,4/28/25 22:42:04,4/29/25 5:42,0,0,0,,,3.28084E-5,0,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137,1.3,2.6,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,No satellite positioning. Fly with caution Satellite positioning signal weak. Hovering unstable. Fly with caution (Code: 30002)
200,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,136.8,1.1,2.5,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,Aircraft in Warning Zone (Airport). Fly with caution
300,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137,1.2,2.4,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
400,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.1,1.5,2.5,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
500,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.2,1.7,2.7,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
600,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.3,1.9,2.7,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
700,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.3,2,2.6,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
800,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.4,2.2,2.7,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
900,4/28/25 22:42:05,4/29/25 5:42,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,137.6,2.4,2.6,0,1,1024,1024,1024,1024,0,0,0,0,137.2,0,0,86,4.164,4.16,0,0,0,0,0,90.68,3.28084E-5,0,41,Motors_Started,
