Timestamp,Distance (cm)
2025-04-28 19:30:00.023,354.0
2025-04-28 19:30:00.147,356.0
2025-04-28 19:30:00.272,356.0
2025-04-28 19:30:00.396,352.0
2025-04-28 19:30:00.520,352.0
2025-04-28 19:30:00.644,355.0
2025-04-28 19:30:00.768,354.0
2025-04-28 19:30:00.892,353.0
2025-04-28 19:30:01.016,352.0
2025-04-28 19:30:01.140,353.0
2025-04-28 19:30:01.263,345.0
2025-04-28 19:30:01.387,348.0
2025-04-28 19:30:01.511,346.0
2025-04-28 19:30:01.635,349.0
2025-04-28 19:30:01.759,348.0
2025-04-28 19:30:01.883,346.0
2025-04-28 19:30:02.006,345.0
2025-04-28 19:30:02.130,346.0
2025-04-28 19:30:02.254,345.0
2025-04-28 19:30:02.377,342.0
2025-04-28 19:30:02.501,24.0
2025-04-28 19:30:02.625,343.0
2025-04-28 19:30:02.748,326.0
2025-04-28 19:30:02.872,29.0
2025-04-28 19:30:02.996,22.0
2025-04-28 19:30:03.119,24.0
2025-04-28 19:30:03.243,23.0
2025-04-28 19:30:03.366,23.0
2025-04-28 19:30:03.490,23.0
2025-04-28 19:30:03.613,22.0
2025-04-28 19:30:03.737,19.0
2025-04-28 19:30:03.861,18.0
2025-04-28 19:30:03.984,20.0
2025-04-28 19:30:04.108,17.0
2025-04-28 19:30:04.231,17.0
2025-04-28 19:30:04.355,20.0
2025-04-28 19:30:04.479,22.0
2025-04-28 19:30:04.602,22.0
2025-04-28 19:30:04.726,22.0
2025-04-28 19:30:04.849,23.0
2025-04-28 19:30:04.973,22.0
2025-04-28 19:30:05.097,23.0
2025-04-28 19:30:05.220,22.0
2025-04-28 19:30:05.344,24.0
2025-04-28 19:30:05.468,22.0
2025-04-28 19:30:05.591,25.0
2025-04-28 19:30:05.715,24.0
2025-04-28 19:30:05.839,23.0
2025-04-28 19:30:05.962,24.0
2025-04-28 19:30:06.086,23.0
2025-04-28 19:30:06.209,24.0
2025-04-28 19:30:06.333,25.0
2025-04-28 19:30:06.457,27.0
2025-04-28 19:30:06.580,338.0
2025-04-28 19:30:06.704,346.0
2025-04-28 19:30:06.827,349.0
2025-04-28 19:30:06.951,347.0
2025-04-28 19:30:07.075,352.0
2025-04-28 19:30:07.198,348.0
2025-04-28 19:30:07.322,352.0
2025-04-28 19:30:07.445,353.0
2025-04-28 19:30:07.569,341.0
2025-04-28 19:30:07.693,354.0
2025-04-28 19:30:07.817,351.0
2025-04-28 19:30:07.940,354.0
2025-04-28 19:30:08.064,349.0
2025-04-28 19:30:08.187,355.0
2025-04-28 19:30:08.311,352.0
2025-04-28 19:30:08.435,355.0
2025-04-28 19:30:08.558,353.0
2025-04-28 19:30:08.682,354.0
2025-04-28 19:30:08.805,352.0
2025-04-28 19:30:08.929,354.0
2025-04-28 19:30:09.053,351.0
2025-04-28 19:30:09.176,352.0
2025-04-28 19:30:09.300,353.0
2025-04-28 19:30:09.423,353.0
2025-04-28 19:30:09.547,357.0
2025-04-28 19:43:00.023,12.0
2025-04-28 19:43:00.147,12.0
2025-04-28 19:43:00.271,10.0
2025-04-28 19:43:00.395,13.0
2025-04-28 19:43:00.518,14.0
2025-04-28 19:43:00.642,10.0
2025-04-28 19:43:00.766,12.0
2025-04-28 19:43:00.890,12.0
2025-04-28 19:43:01.014,10.0
2025-04-28 19:43:01.138,10.0
2025-04-28 19:43:01.261,15.0
2025-04-28 19:43:01.385,14.0
2025-04-28 19:43:01.509,13.0
2025-04-28 19:43:01.632,14.0
2025-04-28 19:43:01.756,14.0
2025-04-28 19:43:01.880,14.0
2025-04-28 19:43:02.004,15.0
2025-04-28 19:43:02.127,15.0
2025-04-28 19:43:02.251,15.0
2025-04-28 19:43:02.375,15.0
2025-04-28 19:43:02.498,14.0
2025-04-28 19:43:02.622,13.0
2025-04-28 19:43:02.746,13.0
2025-04-28 19:43:02.869,13.0
2025-04-28 19:43:02.993,12.0
2025-04-28 19:43:03.117,12.0
2025-04-28 19:43:03.241,12.0
2025-04-28 19:43:03.364,12.0
2025-04-28 19:43:03.488,12.0
2025-04-28 19:43:03.612,10.0
2025-04-28 19:43:03.735,12.0
2025-04-28 19:43:03.859,12.0
2025-04-28 19:43:03.983,13.0
2025-04-28 19:43:04.106,13.0
2025-04-28 19:43:04.230,17.0
2025-04-28 19:43:04.354,13.0
2025-04-28 19:43:04.477,17.0
2025-04-28 19:43:04.601,15.0
2025-04-28 19:43:04.724,14.0
2025-04-28 19:43:04.848,14.0
2025-04-28 19:43:04.972,14.0
2025-04-28 19:43:05.096,15.0
2025-04-28 19:43:05.219,14.0
2025-04-28 19:43:05.343,15.0
2025-04-28 19:43:05.466,12.0
2025-04-28 19:43:05.590,13.0
2025-04-28 19:43:05.714,13.0
2025-04-28 19:43:05.837,13.0
2025-04-28 19:43:05.961,12.0
2025-04-28 19:43:06.085,12.0
2025-04-28 19:43:06.208,13.0
2025-04-28 19:43:06.332,12.0
2025-04-28 19:43:06.455,10.0
2025-04-28 19:43:06.579,13.0
2025-04-28 19:43:06.702,14.0
2025-04-28 19:43:06.826,14.0
2025-04-28 19:43:06.950,13.0
2025-04-28 19:43:07.073,13.0
2025-04-28 19:43:07.197,14.0
2025-04-28 19:43:07.320,14.0
2025-04-28 19:43:07.444,14.0
2025-04-28 19:43:07.567,13.0
2025-04-28 19:43:07.691,14.0
2025-04-28 19:43:07.815,14.0
2025-04-28 19:43:07.938,14.0
2025-04-28 19:43:08.062,13.0
2025-04-28 19:43:08.185,13.0
2025-04-28 19:43:08.309,12.0
2025-04-28 19:43:08.432,12.0
2025-04-28 19:43:08.556,13.0
2025-04-28 19:43:08.680,13.0
2025-04-28 19:43:08.803,14.0
2025-04-28 19:43:08.927,12.0
2025-04-28 19:43:09.051,14.0
2025-04-28 19:43:09.174,13.0
2025-04-28 19:43:09.298,13.0
2025-04-28 19:43:09.421,13.0
2025-04-28 19:43:09.545,15.0
2025-04-28 19:43:09.668,13.0
2025-04-28 19:43:09.792,14.0
2025-04-28 19:43:09.916,14.0
2025-04-28 19:43:10.039,13.0
2025-04-28 19:43:10.163,14.0
2025-04-28 19:43:10.286,14.0
2025-04-28 19:43:10.410,14.0
2025-04-28 19:43:10.533,13.0
2025-04-28 19:43:10.657,14.0
2025-04-28 19:43:10.781,12.0
2025-04-28 19:43:10.904,13.0
2025-04-28 19:43:11.028,15.0
2025-04-28 19:43:11.151,14.0
2025-04-28 19:43:11.275,13.0
2025-04-28 19:43:11.398,13.0
2025-04-28 19:43:11.522,13.0
