time(seconds),datetime(utc),height_above_takeoff(meters),xSpeed(m/s),ySpeed(m/s),zSpeed(m/s),x(m),y(m),calibrated_z(m),altitude(m)
0.0,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.1,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.2,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.3,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.4,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.5,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.6,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.7,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.8,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
0.9,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,56.95
1.0,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,56.92
1.1,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.2,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.3,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.4,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.5,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,56.9
1.6,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.7,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,56.9
1.8,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
1.9,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,56.91
2.0,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,56.86
2.1,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
2.2,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,56.91
2.3,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,56.88
2.4,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,56.86
2.5,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,56.9
2.6,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,56.9
2.7,2025-04-29 05:42:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,56.9
2.8,2025-04-29 05:42:00,-0.1,0.0,0.0,-0.1,0.0,0.0,-0.22,56.78
2.9,2025-04-29 05:42:00,-0.2,0.0,0.0,-0.4,0.0,0.0,-0.33,56.67
3.0,2025-04-29 05:42:00,-0.1,0.0,0.0,-0.5,0.0,0.0,-0.2,56.8
3.1,2025-04-29 05:42:00,0.0,0.0,0.0,-0.6,0.0,0.0,-0.1,56.9
3.2,2025-04-29 05:42:00,0.0,0.0,0.0,-0.8,0.0,0.0,-0.1,56.9
3.3,2025-04-29 05:42:00,0.1,0.0,0.0,-0.9,0.0,0.0,0.020000000000000004,57.02
3.4,2025-04-29 05:42:00,0.2,0.0,0.0,-0.9,0.0,0.0,0.11000000000000001,57.11
3.5,2025-04-29 05:42:00,0.4,0.0,0.0,-1.0,0.0,0.0,0.31000000000000005,57.31
3.6,2025-04-29 05:42:00,0.5,0.0,0.0,-1.0,0.0,0.0,0.42,57.42
3.7,2025-04-29 05:42:00,0.6,0.0,0.0,-1.0,0.0,0.0,0.5,57.5
3.8,2025-04-29 05:42:00,0.8,0.0,0.0,-1.0,0.0,0.0,0.7100000000000001,57.71
3.9,2025-04-29 05:42:00,0.9,0.0,0.0,-1.0,0.0,0.0,0.8,57.8
4.0,2025-04-29 05:42:00,1.1,0.0,0.0,-1.0,0.0,0.0,0.9500000000000001,57.95
4.1,2025-04-29 05:42:00,1.2,0.0,0.0,-1.0,0.0,0.0,1.08,58.08
4.2,2025-04-29 05:42:00,1.3,0.0,0.0,-0.9,0.0,0.0,1.1800000000000002,58.18
4.3,2025-04-29 05:42:00,1.4,0.0,0.0,-0.8,0.0,0.0,1.2999999999999998,58.3
4.4,2025-04-29 05:42:00,1.6,0.0,0.0,-0.7,0.0,0.0,1.48,58.48
4.5,2025-04-29 05:42:00,1.7,0.0,0.0,-0.6,0.0,0.0,1.58,58.58
4.6,2025-04-29 05:42:00,1.8,0.0,0.0,-0.5,0.0,0.0,1.7,58.7
4.7,2025-04-29 05:42:00,1.8,0.0,0.0,0.9,0.0,0.0,1.71,58.71
4.8,2025-04-29 05:42:00,1.8,0.0,0.0,0.8,0.0,0.0,1.73,58.73
4.9,2025-04-29 05:42:00,1.8,0.0,0.0,0.6,0.0,0.0,1.6800000000000002,58.68
5.0,2025-04-29 05:42:00,1.8,0.0,0.0,0.3,0.0,0.0,1.7,58.7
5.1,2025-04-29 05:42:00,1.9,0.0,0.0,-0.2,0.0,0.0,1.8099999999999998,58.81
5.2,2025-04-29 05:42:00,1.9,0.0,0.0,0.0,0.0,0.0,1.7599999999999998,58.76
5.3,2025-04-29 05:42:00,1.9,0.0,0.0,0.0,0.0,0.0,1.73,58.73
5.4,2025-04-29 05:42:00,2.0,0.0,0.0,0.0,0.0,0.0,1.83,58.83
5.5,2025-04-29 05:42:00,2.0,0.0,0.0,0.0,0.0,0.0,1.49,58.49
5.6,2025-04-29 05:42:00,2.0,0.0,0.0,0.4,0.0,0.0,1.3599999999999999,58.36
5.7,2025-04-29 05:42:00,2.0,0.0,0.0,0.2,0.0,0.0,1.91,58.91
